Area,Count
downtown,317
oakland,279
greenfield,59
millvale,56
airport,53
squirrel hill,47
lawrenceville,42
south side,42
bloomfield,40
east liberty,36
south hills,35
friendship,27
shadyside,23
pitt,23
east end,18
polish hill,18
cmu,18
point breeze,13
garfield,13
brookline,13
highland park,12
homestead,12
strip district,10
dormont,10
stanton heights,9
monroeville,9
swissvale,9
edgewood,8
sharpsburg,8
north side,8
mt lebanon,7
troy hill,7
morningside,7
verona,6
natrona,6
forest hills,6
regent square,5
uptown,5
brentwood,5
allentown,5
carrick,3
whitehall,2
bellefonte,1
